ECI1	FAA2	4932.YLR284C	4932.YER015W	0.118	0	0	0	0.372	0	0	0.776	0.865
ECI1	POX1	4932.YLR284C	4932.YGL205W	0.162	0	0	0	0.312	0.254	0.900	0.862	0.993
ECI1	POT1	4932.YLR284C	4932.YIL160C	0.146	0	0	0	0.339	0.474	0.900	0.541	0.983
ECI1	TES1	4932.YLR284C	4932.YJR019C	0	0	0	0	0.191	0	0.900	0.845	0.986
ECI1	FOX2	4932.YLR284C	4932.YKR009C	0.162	0	0.221	0	0.668	0	0.900	0.886	0.997
ECI1	ERG10	4932.YLR284C	4932.YPL028W	0.146	0	0	0	0.173	0.474	0	0.455	0.770
ECI1	PXA1	4932.YLR284C	4932.YPL147W	0	0	0	0	0.362	0	0	0.805	0.870
ECI1	DCI1	4932.YLR284C	4932.YOR180C	0	0	0.444	0.933	0.098	0.808	0.900	0.900	0.982
ECI1	SPS19	4932.YLR284C	4932.YNL202W	0.053	0	0	0	0.243	0.139	0.900	0.886	0.991
ERG10	POX1	4932.YPL028W	4932.YGL205W	0.173	0	0	0	0.197	0	0.900	0.797	0.984
ERG10	POT1	4932.YPL028W	4932.YIL160C	0	0	0.448	0.803	0.095	0	0.900	0.969	0.930
ERG10	ECI1	4932.YPL028W	4932.YLR284C	0.146	0	0	0	0.173	0.474	0	0.455	0.770
ERG10	HFA1	4932.YPL028W	4932.YMR207C	0.047	0	0	0	0.048	0	0.900	0.288	0.926
ERG10	ACC1	4932.YPL028W	4932.YNR016C	0.047	0	0	0	0.048	0	0.900	0.288	0.926
FAA1	FAT1	4932.YOR317W	4932.YBR041W	0	0	0	0	0.052	0.508	0	0.949	0.974
FAA1	TGL2	4932.YOR317W	4932.YDR058C	0	0	0	0	0	0	0.600	0.542	0.809
FAA1	FAA2	4932.YOR317W	4932.YER015W	0	0	0.430	0.667	0.055	0.267	0.600	0.958	0.822
FAA1	OLE1	4932.YOR317W	4932.YGL055W	0	0	0	0	0.176	0.588	0	0.770	0.915
FAA1	POX1	4932.YOR317W	4932.YGL205W	0.155	0	0	0	0.173	0.445	0.900	0.857	0.993
FAA1	POT1	4932.YOR317W	4932.YIL160C	0.140	0	0	0	0.195	0	0	0.605	0.702
FAA1	YJU3	4932.YOR317W	4932.YKL094W	0	0	0	0	0.044	0	0.800	0.344	0.863
FAA1	TGL1	4932.YOR317W	4932.YKL140W	0	0	0	0	0	0.120	0	0.782	0.800
FAA1	FAS1	4932.YOR317W	4932.YKL182W	0	0	0	0	0.049	0	0.900	0.697	0.968
FAA1	FOX2	4932.YOR317W	4932.YKR009C	0	0	0	0	0.580	0	0	0.708	0.872
FAA1	TGL4	4932.YOR317W	4932.YKR089C	0	0	0	0	0.076	0	0.600	0.720	0.887
FAA1	FAA4	4932.YOR317W	4932.YMR246W	0	0	0.448	0.968	0	0.808	0.600	0.970	0.923
FAA1	TGL3	4932.YOR317W	4932.YMR313C	0	0	0	0	0.148	0	0.600	0.688	0.884
FAA1	LRO1	4932.YOR317W	4932.YNR008W	0	0	0	0	0	0	0	0.707	0.707
FAA1	ACC1	4932.YOR317W	4932.YNR016C	0.045	0	0	0	0.079	0	0	0.687	0.701
FAA1	DGA1	4932.YOR317W	4932.YOR245C	0	0	0	0	0.078	0	0	0.761	0.770
FAA1	FAS2	4932.YOR317W	4932.YPL231W	0	0	0	0	0	0	0	0.711	0.711
FAA1	PXA1	4932.YOR317W	4932.YPL147W	0	0	0	0	0.184	0.170	0	0.757	0.821
FAA2	FAT1	4932.YER015W	4932.YBR041W	0	0	0	0	0.076	0.071	0	0.886	0.893
FAA2	TGL2	4932.YER015W	4932.YDR058C	0	0	0	0	0	0	0.600	0.372	0.738
FAA2	PEX5	4932.YER015W	4932.YDR244W	0	0	0	0	0.648	0.273	0	0.478	0.854
FAA2	DCI1	4932.YER015W	4932.YOR180C	0.118	0	0	0	0.213	0	0	0.619	0.713
FAA2	TGL3	4932.YER015W	4932.YMR313C	0	0	0	0	0.057	0	0.600	0.317	0.719
FAA2	TGL4	4932.YER015W	4932.YKR089C	0	0	0	0	0.057	0	0.600	0.350	0.733
FAA2	DGA1	4932.YER015W	4932.YOR245C	0	0	0	0	0.054	0	0	0.764	0.767
FAA2	OLE1	4932.YER015W	4932.YGL055W	0	0	0	0	0.176	0.066	0	0.782	0.817
FAA2	FAA4	4932.YER015W	4932.YMR246W	0	0	0.429	0.658	0.055	0.267	0.600	0.900	0.819
FAA2	FAA1	4932.YER015W	4932.YOR317W	0	0	0.430	0.667	0.055	0.267	0.600	0.958	0.822
FAA2	YJU3	4932.YER015W	4932.YKL094W	0	0	0	0	0.046	0	0.800	0.334	0.861
FAA2	ECI1	4932.YER015W	4932.YLR284C	0.118	0	0	0	0.372	0	0	0.776	0.865
FAA2	POT1	4932.YER015W	4932.YIL160C	0.140	0	0	0	0.627	0	0	0.624	0.869
FAA2	FAS1	4932.YER015W	4932.YKL182W	0	0	0	0	0	0	0.900	0.541	0.952
FAA2	SPS19	4932.YER015W	4932.YNL202W	0	0	0	0	0.904	0.098	0	0.757	0.977
FAA2	PXA1	4932.YER015W	4932.YPL147W	0	0	0	0	0.675	0.487	0	0.913	0.984
FAA2	FOX2	4932.YER015W	4932.YKR009C	0	0	0	0	0.946	0	0	0.791	0.988
FAA2	POX1	4932.YER015W	4932.YGL205W	0.155	0	0	0	0.548	0	0.900	0.951	0.997
FAA4	FAT1	4932.YMR246W	4932.YBR041W	0	0	0	0	0.052	0.508	0	0.911	0.955
FAA4	FAA2	4932.YMR246W	4932.YER015W	0	0	0.429	0.658	0.055	0.267	0.600	0.900	0.819
FAA4	OLE1	4932.YMR246W	4932.YGL055W	0	0	0	0	0.371	0.588	0	0.770	0.935
FAA4	POX1	4932.YMR246W	4932.YGL205W	0.155	0	0	0	0.173	0	0.900	0.757	0.980
FAA4	YJU3	4932.YMR246W	4932.YKL094W	0	0	0	0	0.044	0	0.800	0.324	0.859
FAA4	TGL1	4932.YMR246W	4932.YKL140W	0	0	0	0	0	0.120	0	0.777	0.795
FAA4	FAS1	4932.YMR246W	4932.YKL182W	0	0	0	0	0.049	0	0.900	0.708	0.969
FAA4	FOX2	4932.YMR246W	4932.YKR009C	0	0	0	0	0.580	0	0	0.348	0.714
FAA4	TGL4	4932.YMR246W	4932.YKR089C	0	0	0	0	0.076	0	0.600	0.551	0.819
FAA4	INA1	4932.YMR246W	4932.YLR413W	0	0	0	0	0.834	0	0	0	0.834
FAA4	DGA1	4932.YMR246W	4932.YOR245C	0	0	0	0	0.078	0	0	0.714	0.725
FAA4	FAS2	4932.YMR246W	4932.YPL231W	0	0	0	0	0.098	0	0	0.715	0.732
FAA4	PXA1	4932.YMR246W	4932.YPL147W	0	0	0	0	0.184	0.170	0	0.712	0.788
FAA4	TGL3	4932.YMR246W	4932.YMR313C	0	0	0	0	0.148	0	0.600	0.688	0.884
FAA4	FAA1	4932.YMR246W	4932.YOR317W	0	0	0.448	0.968	0	0.808	0.600	0.970	0.923
FAS1	FAA2	4932.YKL182W	4932.YER015W	0	0	0	0	0	0	0.900	0.541	0.952
FAS1	OLE1	4932.YKL182W	4932.YGL055W	0	0	0	0	0.248	0	0	0.837	0.872
FAS1	FAA1	4932.YKL182W	4932.YOR317W	0	0	0	0	0.049	0	0.900	0.697	0.968
FAS1	FAA4	4932.YKL182W	4932.YMR246W	0	0	0	0	0.049	0	0.900	0.708	0.969
FAS1	HFA1	4932.YKL182W	4932.YMR207C	0.146	0	0	0	0.645	0.517	0.900	0.353	0.988
FAS1	FAS2	4932.YKL182W	4932.YPL231W	0	0.811	0.446	0	0.998	0.977	0.900	0.993	0.999
FAS1	ACC1	4932.YKL182W	4932.YNR016C	0.146	0	0	0	0.948	0.109	0.900	0.907	0.999
FAS2	OLE1	4932.YPL231W	4932.YGL055W	0	0	0	0	0.169	0	0	0.881	0.897
FAS2	FAS1	4932.YPL231W	4932.YKL182W	0	0.811	0.446	0	0.998	0.977	0.900	0.993	0.999
FAS2	HFA1	4932.YPL231W	4932.YMR207C	0.146	0	0	0	0.649	0.293	0	0.352	0.844
FAS2	FAA4	4932.YPL231W	4932.YMR246W	0	0	0	0	0.098	0	0	0.715	0.732
FAS2	ACC1	4932.YPL231W	4932.YNR016C	0.146	0	0	0	0.810	0.143	0	0.897	0.983
FAS2	DGA1	4932.YPL231W	4932.YOR245C	0	0	0	0	0	0	0	0.716	0.716
FAS2	FAA1	4932.YPL231W	4932.YOR317W	0	0	0	0	0	0	0	0.711	0.711
FAT1	PXA1	4932.YBR041W	4932.YPL147W	0	0	0	0	0.053	0.118	0	0.706	0.733
FAT1	TGL3	4932.YBR041W	4932.YMR313C	0	0	0	0	0	0.324	0	0.738	0.815
FAT1	DGA1	4932.YBR041W	4932.YOR245C	0	0	0	0	0.042	0	0	0.856	0.856
FAT1	TGL1	4932.YBR041W	4932.YKL140W	0	0	0	0	0	0.373	0	0.807	0.874
FAT1	FAA2	4932.YBR041W	4932.YER015W	0	0	0	0	0.076	0.071	0	0.886	0.893
FAT1	PEX5	4932.YBR041W	4932.YDR244W	0	0	0	0	0.069	0.076	0.900	0.048	0.907
FAT1	CTA1	4932.YBR041W	4932.YDR256C	0	0	0	0	0.054	0	0.900	0.231	0.920
FAT1	TES1	4932.YBR041W	4932.YJR019C	0	0	0	0	0	0	0.900	0.276	0.924
FAT1	SPS19	4932.YBR041W	4932.YNL202W	0	0	0	0	0.042	0	0.900	0.449	0.942
FAT1	DCI1	4932.YBR041W	4932.YOR180C	0	0	0.254	0	0.053	0	0.900	0.400	0.951
FAT1	FAA4	4932.YBR041W	4932.YMR246W	0	0	0	0	0.052	0.508	0	0.911	0.955
FAT1	ECI1	4932.YBR041W	4932.YLR284C	0	0	0.283	0	0.053	0	0.900	0.502	0.961
FAT1	FOX2	4932.YBR041W	4932.YKR009C	0	0	0	0	0.102	0	0.900	0.644	0.965
FAT1	FAA1	4932.YBR041W	4932.YOR317W	0	0	0	0	0.052	0.508	0	0.949	0.974
FAT1	POX1	4932.YBR041W	4932.YGL205W	0	0	0	0	0.053	0	0.900	0.770	0.976
FOX2	FAT1	4932.YKR009C	4932.YBR041W	0	0	0	0	0.102	0	0.900	0.644	0.965
FOX2	PEX5	4932.YKR009C	4932.YDR244W	0	0	0	0	0.887	0.092	0.900	0.643	0.995
FOX2	CTA1	4932.YKR009C	4932.YDR256C	0	0	0	0	0.545	0.162	0.900	0.789	0.990
FOX2	FAA2	4932.YKR009C	4932.YER015W	0	0	0	0	0.946	0	0	0.791	0.988
FOX2	POX1	4932.YKR009C	4932.YGL205W	0.191	0	0	0	0.603	0	0.900	0.963	0.998
FOX2	POT1	4932.YKR009C	4932.YIL160C	0.173	0	0	0	0.944	0.348	0.900	0.962	0.999
FOX2	TES1	4932.YKR009C	4932.YJR019C	0	0	0	0	0.381	0	0.900	0.809	0.987
FOX2	FAA4	4932.YKR009C	4932.YMR246W	0	0	0	0	0.580	0	0	0.348	0.714
FOX2	FAA1	4932.YKR009C	4932.YOR317W	0	0	0	0	0.580	0	0	0.708	0.872
FOX2	PXA1	4932.YKR009C	4932.YPL147W	0	0	0	0	0.953	0.445	0	0.803	0.994
FOX2	DCI1	4932.YKR009C	4932.YOR180C	0.162	0	0.225	0	0.580	0	0.900	0.823	0.994
FOX2	SPS19	4932.YKR009C	4932.YNL202W	0.118	0	0.251	0.620	0.909	0.150	0.900	0.798	0.995
FOX2	ECI1	4932.YKR009C	4932.YLR284C	0.162	0	0.221	0	0.668	0	0.900	0.886	0.997
HFA1	FAS1	4932.YMR207C	4932.YKL182W	0.146	0	0	0	0.645	0.517	0.900	0.353	0.988
HFA1	FAS2	4932.YMR207C	4932.YPL231W	0.146	0	0	0	0.649	0.293	0	0.352	0.844
HFA1	ACC1	4932.YMR207C	4932.YNR016C	0	0	0	0.958	0.091	0.289	0.800	0.924	0.864
HFA1	ERG10	4932.YMR207C	4932.YPL028W	0.047	0	0	0	0.048	0	0.900	0.288	0.926
INA1	FAA4	4932.YLR413W	4932.YMR246W	0	0	0	0	0.834	0	0	0	0.834
LRO1	ATG15	4932.YNR008W	4932.YCR068W	0	0	0	0	0.099	0	0.900	0.074	0.909
LRO1	TGL2	4932.YNR008W	4932.YDR058C	0	0	0	0	0.053	0	0.900	0.450	0.943
LRO1	OLE1	4932.YNR008W	4932.YGL055W	0	0	0	0	0	0	0	0.748	0.748
LRO1	YJU3	4932.YNR008W	4932.YKL094W	0	0	0	0	0.044	0.498	0	0.548	0.764
LRO1	TGL1	4932.YNR008W	4932.YKL140W	0	0	0	0	0.046	0	0	0.809	0.810
LRO1	TGL4	4932.YNR008W	4932.YKR089C	0	0	0	0	0.095	0	0.900	0.938	0.993
LRO1	TGL3	4932.YNR008W	4932.YMR313C	0	0	0	0	0.095	0	0.900	0.937	0.993
LRO1	FAA1	4932.YNR008W	4932.YOR317W	0	0	0	0	0	0	0	0.707	0.707
LRO1	DGA1	4932.YNR008W	4932.YOR245C	0	0	0	0	0.049	0.633	0.900	0.996	0.999
MGA2	OLE1	4932.YIR033W	4932.YGL055W	0	0	0	0	0	0.560	0	0.988	0.995
OLE1	FAA2	4932.YGL055W	4932.YER015W	0	0	0	0	0.176	0.066	0	0.782	0.817
OLE1	LRO1	4932.YGL055W	4932.YNR008W	0	0	0	0	0	0	0	0.748	0.748
OLE1	SPS19	4932.YGL055W	4932.YNL202W	0	0	0	0	0.041	0.071	0	0.755	0.763
OLE1	POX1	4932.YGL055W	4932.YGL205W	0	0	0	0	0.056	0	0	0.845	0.847
OLE1	FAS1	4932.YGL055W	4932.YKL182W	0	0	0	0	0.248	0	0	0.837	0.872
OLE1	ACC1	4932.YGL055W	4932.YNR016C	0	0	0	0	0.251	0	0	0.854	0.886
OLE1	FAS2	4932.YGL055W	4932.YPL231W	0	0	0	0	0.169	0	0	0.881	0.897
OLE1	FAA1	4932.YGL055W	4932.YOR317W	0	0	0	0	0.176	0.588	0	0.770	0.915
OLE1	FAA4	4932.YGL055W	4932.YMR246W	0	0	0	0	0.371	0.588	0	0.770	0.935
OLE1	DGA1	4932.YGL055W	4932.YOR245C	0	0	0	0	0.055	0.197	0	0.935	0.946
OLE1	MGA2	4932.YGL055W	4932.YIR033W	0	0	0	0	0	0.560	0	0.988	0.995
OLE1	SPT23	4932.YGL055W	4932.YKL020C	0	0	0	0	0	0.560	0	0.989	0.995
PEX5	FAT1	4932.YDR244W	4932.YBR041W	0	0	0	0	0.069	0.076	0.900	0.048	0.907
PEX5	FAA2	4932.YDR244W	4932.YER015W	0	0	0	0	0.648	0.273	0	0.478	0.854
PEX5	PXA1	4932.YDR244W	4932.YPL147W	0	0	0	0	0.636	0	0	0.676	0.877
PEX5	SPS19	4932.YDR244W	4932.YNL202W	0	0	0	0	0.616	0.104	0.900	0.373	0.975
PEX5	ECI1	4932.YDR244W	4932.YLR284C	0	0	0	0	0.088	0.404	0.900	0.631	0.977
PEX5	TES1	4932.YDR244W	4932.YJR019C	0	0	0	0	0.095	0.092	0.900	0.767	0.978
PEX5	CTA1	4932.YDR244W	4932.YDR256C	0	0	0	0	0.077	0.291	0.900	0.778	0.983
PEX5	POT1	4932.YDR244W	4932.YIL160C	0	0	0	0	0.117	0.269	0.900	0.770	0.983
PEX5	POX1	4932.YDR244W	4932.YGL205W	0	0	0	0	0.113	0.467	0.900	0.883	0.993
PEX5	DCI1	4932.YDR244W	4932.YOR180C	0	0	0	0	0.088	0.110	0.900	0.938	0.994
PEX5	FOX2	4932.YDR244W	4932.YKR009C	0	0	0	0	0.887	0.092	0.900	0.643	0.995
